sessionStart,sessionEnd,durationHours
2025-03-14T20:55:34.523Z,2025-03-14T20:55:55.729Z,0.01
2025-03-14T20:55:55.729Z,2025-03-14T20:56:37.075Z,0.01
2025-03-14T20:56:37.075Z,2025-03-14T23:24:06.340Z,2.46
2025-03-14T23:24:06.340Z,2025-03-14T23:24:39.489Z,0.01
2025-03-14T23:24:39.489Z,2025-03-14T23:25:38.843Z,0.02
2025-03-14T23:25:38.843Z,2025-03-14T23:26:27.460Z,0.01
2025-03-14T23:26:27.460Z,2025-03-14T23:27:41.058Z,0.02
2025-03-14T23:27:41.058Z,2025-03-14T23:28:18.983Z,0.01
2025-03-14T23:28:18.983Z,2025-03-14T23:29:50.997Z,0.03
2025-03-14T23:29:50.997Z,2025-03-14T23:33:09.957Z,0.06
2025-03-14T23:33:09.957Z,2025-03-14T23:35:34.464Z,0.04
2025-03-14T23:35:34.464Z,2025-03-14T23:35:40.045Z,0.00
2025-03-14T23:35:40.045Z,2025-03-14T23:41:35.194Z,0.10
2025-03-14T23:41:35.194Z,2025-03-14T23:45:50.202Z,0.07
2025-03-14T23:45:50.202Z,2025-03-14T23:48:03.302Z,0.04
2025-03-14T23:48:03.302Z,2025-03-14T23:51:05.617Z,0.05
2025-03-14T23:51:05.617Z,2025-03-14T23:53:28.147Z,0.04
2025-03-14T23:53:28.147Z,2025-03-14T23:54:53.521Z,0.02
2025-03-14T23:54:53.521Z,2025-03-14T23:59:30.097Z,0.08
2025-03-14T23:59:30.097Z,2025-03-15T00:03:38.097Z,0.07
2025-03-15T00:03:38.097Z,2025-03-15T00:10:30.588Z,0.11
2025-03-15T16:09:09.553Z,2025-03-15T16:14:02.209Z,0.08
2025-03-15T16:14:02.209Z,2025-03-15T16:18:08.151Z,0.07
2025-03-15T16:18:08.151Z,2025-03-15T16:18:25.644Z,0.00
2025-03-15T16:18:25.644Z,2025-03-15T16:18:36.885Z,0.00
2025-03-15T16:18:36.885Z,2025-03-15T16:37:00.907Z,0.31
2025-03-15T16:37:00.907Z,2025-03-15T16:37:08.786Z,0.00
2025-03-15T16:37:08.786Z,2025-03-15T16:37:11.979Z,0.00
2025-03-15T16:37:11.979Z,2025-03-15T16:43:34.137Z,0.11
2025-03-15T16:43:34.137Z,2025-03-15T16:46:00.213Z,0.04
2025-03-15T16:46:00.213Z,2025-03-15T16:55:13.216Z,0.15
2025-03-15T16:55:13.216Z,2025-03-15T17:01:21.069Z,0.10
2025-03-15T17:01:21.069Z,2025-03-15T17:01:23.102Z,0.00
2025-03-15T17:01:23.102Z,2025-03-15T17:08:05.170Z,0.11
